secs,id,TTFT,TBT,total_time,total_tokens,prompt_tokens
105,contextual_01,21049.66,779.3,59309.06,421.0,372.0
106,contextual_01,21049.66,779.3,59309.06,421.0,372.0
107,contextual_01,21049.66,779.3,59309.06,421.0,372.0
108,contextual_01,21049.66,779.3,59309.06,421.0,372.0
109,contextual_01,21049.66,779.3,59309.06,421.0,372.0
110,contextual_01,21049.66,779.3,59309.06,421.0,372.0
111,contextual_01,21049.66,779.3,59309.06,421.0,372.0
112,contextual_01,21049.66,779.3,59309.06,421.0,372.0
113,contextual_01,21049.66,779.3,59309.06,421.0,372.0
114,contextual_01,21049.66,779.3,59309.06,421.0,372.0
115,contextual_01,21049.66,779.3,59309.06,421.0,372.0
116,contextual_01,21049.66,779.3,59309.06,421.0,372.0
117,contextual_01,21049.66,779.3,59309.06,421.0,372.0
118,contextual_01,21049.66,779.3,59309.06,421.0,372.0
119,contextual_01,21049.66,779.3,59309.06,421.0,372.0
120,contextual_01,21049.66,779.3,59309.06,421.0,372.0
121,contextual_01,21049.66,779.3,59309.06,421.0,372.0
122,contextual_01,21049.66,779.3,59309.06,421.0,372.0
123,contextual_01,21049.66,779.3,59309.06,421.0,372.0
124,contextual_01,21049.66,779.3,59309.06,421.0,372.0
125,contextual_01,21049.66,779.3,59309.06,421.0,372.0
126,contextual_01,21049.66,779.3,59309.06,421.0,372.0
127,contextual_01,21049.66,779.3,59309.06,421.0,372.0
128,contextual_01,21049.66,779.3,59309.06,421.0,372.0
129,contextual_01,21049.66,779.3,59309.06,421.0,372.0
130,contextual_01,21049.66,779.3,59309.06,421.0,372.0
131,contextual_01,21049.66,779.3,59309.06,421.0,372.0
132,contextual_01,21049.66,779.3,59309.06,421.0,372.0
133,contextual_01,21049.66,779.3,59309.06,421.0,372.0
134,contextual_01,21049.66,779.3,59309.06,421.0,372.0
135,contextual_01,21049.66,779.3,59309.06,421.0,372.0
136,contextual_01,21049.66,779.3,59309.06,421.0,372.0
137,contextual_01,21049.66,779.3,59309.06,421.0,372.0
138,contextual_01,21049.66,779.3,59309.06,421.0,372.0
139,contextual_01,21049.66,779.3,59309.06,421.0,372.0
140,contextual_01,21049.66,779.3,59309.06,421.0,372.0
141,contextual_01,21049.66,779.3,59309.06,421.0,372.0
142,contextual_01,21049.66,779.3,59309.06,421.0,372.0
143,contextual_01,21049.66,779.3,59309.06,421.0,372.0
144,contextual_01,21049.66,779.3,59309.06,421.0,372.0
145,contextual_01,21049.66,779.3,59309.06,421.0,372.0
146,contextual_01,21049.66,779.3,59309.06,421.0,372.0
147,contextual_01,21049.66,779.3,59309.06,421.0,372.0
148,contextual_01,21049.66,779.3,59309.06,421.0,372.0
149,contextual_01,21049.66,779.3,59309.06,421.0,372.0
150,contextual_01,21049.66,779.3,59309.06,421.0,372.0
151,contextual_01,21049.66,779.3,59309.06,421.0,372.0
152,contextual_01,21049.66,779.3,59309.06,421.0,372.0
153,contextual_01,21049.66,779.3,59309.06,421.0,372.0
154,contextual_01,21049.66,779.3,59309.06,421.0,372.0
155,contextual_01,21049.66,779.3,59309.06,421.0,372.0
156,contextual_01,21049.66,779.3,59309.06,421.0,372.0
157,contextual_01,21049.66,779.3,59309.06,421.0,372.0
158,contextual_01,21049.66,779.3,59309.06,421.0,372.0
159,contextual_01,21049.66,779.3,59309.06,421.0,372.0
160,contextual_01,21049.66,779.3,59309.06,421.0,372.0
161,contextual_01,21049.66,779.3,59309.06,421.0,372.0
162,contextual_01,21049.66,779.3,59309.06,421.0,372.0
163,contextual_01,21049.66,779.3,59309.06,421.0,372.0
164,contextual_01,21049.66,779.3,59309.06,421.0,372.0
165,contextual_01,21049.66,779.3,59309.06,421.0,372.0
166,contextual_01,21049.66,779.3,59309.06,421.0,372.0
167,contextual_01,21049.66,779.3,59309.06,421.0,372.0
168,contextual_01,21049.66,779.3,59309.06,421.0,372.0
169,contextual_01,21049.66,779.3,59309.06,421.0,372.0
170,contextual_01,21049.66,779.3,59309.06,421.0,372.0
171,contextual_01,21049.66,779.3,59309.06,421.0,372.0
172,contextual_01,21049.66,779.3,59309.06,421.0,372.0
173,contextual_01,21049.66,779.3,59309.06,421.0,372.0
174,contextual_01,21049.66,779.3,59309.06,421.0,372.0
175,contextual_01,21049.66,779.3,59309.06,421.0,372.0
176,contextual_01,21049.66,779.3,59309.06,421.0,372.0
177,contextual_01,21049.66,779.3,59309.06,421.0,372.0
178,contextual_01,21049.66,779.3,59309.06,421.0,372.0
179,contextual_01,21049.66,779.3,59309.06,421.0,372.0
180,contextual_01,21049.66,779.3,59309.06,421.0,372.0
181,contextual_01,21049.66,779.3,59309.06,421.0,372.0
182,contextual_01,21049.66,779.3,59309.06,421.0,372.0
183,contextual_01,21049.66,779.3,59309.06,421.0,372.0
184,contextual_01,21049.66,779.3,59309.06,421.0,372.0
185,contextual_01,21049.66,779.3,59309.06,421.0,372.0
186,contextual_01,21049.66,779.3,59309.06,421.0,372.0
187,contextual_01,21049.66,779.3,59309.06,421.0,372.0
188,contextual_01,21049.66,779.3,59309.06,421.0,372.0
189,contextual_01,21049.66,779.3,59309.06,421.0,372.0
190,contextual_01,21049.66,779.3,59309.06,421.0,372.0
191,contextual_01,21049.66,779.3,59309.06,421.0,372.0
192,contextual_01,21049.66,779.3,59309.06,421.0,372.0
193,contextual_01,21049.66,779.3,59309.06,421.0,372.0
194,contextual_01,21049.66,779.3,59309.06,421.0,372.0
195,contextual_01,21049.66,779.3,59309.06,421.0,372.0
196,contextual_01,21049.66,779.3,59309.06,421.0,372.0
197,contextual_01,21049.66,779.3,59309.06,421.0,372.0
198,contextual_01,21049.66,779.3,59309.06,421.0,372.0
199,contextual_01,21049.66,779.3,59309.06,421.0,372.0
200,contextual_01,21049.66,779.3,59309.06,421.0,372.0
201,contextual_01,21049.66,779.3,59309.06,421.0,372.0
202,contextual_01,21049.66,779.3,59309.06,421.0,372.0
203,contextual_01,21049.66,779.3,59309.06,421.0,372.0
204,contextual_01,21049.66,779.3,59309.06,421.0,372.0
205,contextual_01,21049.66,779.3,59309.06,421.0,372.0
206,contextual_01,21049.66,779.3,59309.06,421.0,372.0
207,contextual_01,21049.66,779.3,59309.06,421.0,372.0
208,contextual_01,21049.66,779.3,59309.06,421.0,372.0
209,contextual_01,21049.66,779.3,59309.06,421.0,372.0
210,contextual_01,21049.66,779.3,59309.06,421.0,372.0
211,contextual_01,21049.66,779.3,59309.06,421.0,372.0
212,contextual_01,21049.66,779.3,59309.06,421.0,372.0
213,contextual_01,21049.66,779.3,59309.06,421.0,372.0
214,contextual_01,21049.66,779.3,59309.06,421.0,372.0
215,contextual_01,21049.66,779.3,59309.06,421.0,372.0
216,contextual_01,21049.66,779.3,59309.06,421.0,372.0
217,contextual_01,21049.66,779.3,59309.06,421.0,372.0
218,contextual_01,21049.66,779.3,59309.06,421.0,372.0
219,contextual_01,21049.66,779.3,59309.06,421.0,372.0
220,contextual_01,21049.66,779.3,59309.06,421.0,372.0
221,contextual_01,21049.66,779.3,59309.06,421.0,372.0
222,contextual_01,21049.66,779.3,59309.06,421.0,372.0
223,contextual_01,21049.66,779.3,59309.06,421.0,372.0
224,contextual_01,21049.66,779.3,59309.06,421.0,372.0
225,contextual_01,21049.66,779.3,59309.06,421.0,372.0
226,contextual_01,21049.66,779.3,59309.06,421.0,372.0
227,contextual_01,21049.66,779.3,59309.06,421.0,372.0
228,contextual_01,21049.66,779.3,59309.06,421.0,372.0
229,contextual_01,21049.66,779.3,59309.06,421.0,372.0
230,contextual_01,21049.66,779.3,59309.06,421.0,372.0
231,contextual_01,21049.66,779.3,59309.06,421.0,372.0
232,contextual_01,21049.66,779.3,59309.06,421.0,372.0
233,contextual_01,21049.66,779.3,59309.06,421.0,372.0
234,contextual_01,21049.66,779.3,59309.06,421.0,372.0
235,contextual_01,21049.66,779.3,59309.06,421.0,372.0
236,contextual_01,21049.66,779.3,59309.06,421.0,372.0
237,contextual_01,21049.66,779.3,59309.06,421.0,372.0
238,contextual_01,21049.66,779.3,59309.06,421.0,372.0
239,contextual_01,21049.66,779.3,59309.06,421.0,372.0
240,contextual_01,21049.66,779.3,59309.06,421.0,372.0
241,contextual_01,21049.66,779.3,59309.06,421.0,372.0
242,contextual_01,21049.66,779.3,59309.06,421.0,372.0
243,contextual_01,21049.66,779.3,59309.06,421.0,372.0
244,contextual_01,21049.66,779.3,59309.06,421.0,372.0
245,contextual_01,21049.66,779.3,59309.06,421.0,372.0
246,contextual_01,21049.66,779.3,59309.06,421.0,372.0
247,contextual_01,21049.66,779.3,59309.06,421.0,372.0
248,contextual_01,21049.66,779.3,59309.06,421.0,372.0
249,contextual_01,21049.66,779.3,59309.06,421.0,372.0
250,contextual_01,21049.66,779.3,59309.06,421.0,372.0
251,contextual_01,21049.66,779.3,59309.06,421.0,372.0
252,contextual_01,21049.66,779.3,59309.06,421.0,372.0
253,contextual_01,21049.66,779.3,59309.06,421.0,372.0
254,contextual_01,21049.66,779.3,59309.06,421.0,372.0
255,contextual_01,21049.66,779.3,59309.06,421.0,372.0
256,contextual_01,21049.66,779.3,59309.06,421.0,372.0
257,contextual_01,21049.66,779.3,59309.06,421.0,372.0
258,contextual_01,21049.66,779.3,59309.06,421.0,372.0
259,contextual_01,21049.66,779.3,59309.06,421.0,372.0
260,contextual_01,21049.66,779.3,59309.06,421.0,372.0
261,contextual_01,21049.66,779.3,59309.06,421.0,372.0
262,contextual_01,21049.66,779.3,59309.06,421.0,372.0
263,contextual_01,21049.66,779.3,59309.06,421.0,372.0
264,contextual_01,21049.66,779.3,59309.06,421.0,372.0
